Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Algeria,DZA,1990,838,1337,439,453,9,1207,491,1634,44,171,939,53488,8125,17931,75,1405,0,2908,35,10571,4,1743,3559,485,422,13438,4410,2401,3981,1113,486
Algeria,DZA,1991,794,1411,451,439,9,1136,484,1541,50,179,884,54722,7701,17421,76,1388,0,2598,34,10917,76,1787,3640,469,408,13120,4481,2456,4033,1078,478
Algeria,DZA,1992,763,1494,470,427,12,1111,497,1482,57,192,853,56107,7409,16918,78,1406,21,2363,34,11145,510,1813,3687,464,396,13115,4571,2500,4083,1071,472
Algeria,DZA,1993,736,1582,488,417,12,1092,513,1422,64,205,828,57522,7162,16442,80,1428,37,2160,34,11386,826,1840,3741,461,386,13154,4668,2542,4136,1067,470
Algeria,DZA,1994,708,1675,509,402,8,1086,553,1356,72,223,802,59055,6905,15878,82,1474,211,1994,34,11629,2428,1873,3806,460,370,13326,4773,2588,4193,1095,469
Algeria,DZA,1995,678,1763,525,385,7,1061,600,1295,80,239,763,60182,6636,15272,84,1500,0,1836,33,11865,3425,1894,3856,456,354,13374,4846,2632,4242,1066,468
Algeria,DZA,1996,650,1855,540,367,5,1035,559,1229,90,256,724,61130,6400,14748,85,1521,4,1644,33,12034,1620,1917,3906,452,336,13410,4903,2670,4281,1057,465
Algeria,DZA,1997,637,1945,554,356,5,1042,831,1167,101,274,697,62011,6280,14322,86,1546,4,1545,33,12203,4905,1933,3937,455,326,13558,4960,2718,4339,1066,461
Algeria,DZA,1998,622,2037,565,342,2,1016,736,1093,113,290,670,62637,6122,13937,87,1550,0,1434,33,12338,4410,1941,3962,451,313,13525,4993,2753,4379,1054,454
Algeria,DZA,1999,602,2129,582,324,1,1001,616,1069,118,310,653,64123,6016,13633,89,1584,34,1345,33,12640,1519,1994,4060,452,295,13631,5080,2821,4469,1056,450
Algeria,DZA,2000,586,2219,597,308,0,963,621,1027,123,327,625,64792,5897,13420,89,1591,48,1247,33,12910,2534,2062,4136,449,279,13538,5124,2870,4533,1032,441
Algeria,DZA,2001,571,2313,618,283,0,921,627,993,137,341,601,65386,5795,13183,89,1599,921,1147,33,13167,1330,2178,4222,446,255,13410,5179,2911,4600,999,415
Algeria,DZA,2002,556,2411,641,253,0,873,628,982,155,354,585,65986,5696,13010,90,1601,48,1040,34,13499,1597,2300,4326,439,228,13224,5240,2935,4648,987,374
Algeria,DZA,2003,538,2508,655,223,0,815,622,923,175,355,566,66329,5586,12955,89,1554,2329,949,73,13869,932,2415,4422,422,200,12701,5270,2954,4684,920,333
Algeria,DZA,2004,530,2618,683,201,0,783,585,892,196,364,554,67142,5549,12900,90,1547,22,879,33,14377,577,2560,4605,417,178,12535,5353,2988,4747,898,303
Algeria,DZA,2005,517,2732,714,183,0,748,567,876,217,373,540,67957,5492,12846,90,1537,22,810,33,14916,324,2706,4771,408,162,12320,5437,3021,4801,874,287
Algeria,DZA,2006,503,2847,744,167,0,719,554,867,244,380,524,68935,5423,12801,91,1523,5,762,33,15400,406,2861,4951,399,146,12077,5509,3053,4848,855,278
Algeria,DZA,2007,489,2976,777,153,0,686,535,861,278,386,513,70099,5365,12719,92,1504,82,720,33,15949,700,3016,5133,391,133,11847,5594,3087,4899,842,272
Algeria,DZA,2008,416,3102,809,141,0,660,536,852,297,392,507,71264,5312,12660,92,1487,93,683,33,16524,507,3170,5320,383,122,11643,5679,3121,4950,818,267
Algeria,DZA,2009,406,3247,844,132,0,636,535,840,318,399,504,72767,5284,12564,93,1474,48,650,33,17155,637,3333,5534,375,113,11450,5788,3161,5015,804,263
Algeria,DZA,2010,399,3401,877,126,0,614,530,809,329,406,499,74239,5274,12387,94,1458,0,621,33,17706,318,3504,5764,370,108,11270,5887,3202,5078,793,260
Algeria,DZA,2011,395,3573,921,123,0,602,527,781,335,418,494,76392,5317,12184,96,1467,10,602,33,18236,342,3685,5991,367,104,11231,6040,3267,5181,791,258
Algeria,DZA,2012,390,3757,963,120,0,588,521,748,343,429,489,78530,5362,11899,98,1468,69,587,33,18795,290,3858,6208,364,101,11152,6198,3336,5289,787,258
Algeria,DZA,2013,391,3936,1001,118,0,582,539,721,345,441,487,80572,5432,11758,99,1473,0,577,33,19359,216,4037,6447,365,100,11158,6344,3405,5397,788,258
Algeria,DZA,2014,391,4136,1048,119,0,582,509,692,355,454,483,83376,5543,11653,101,1485,6,573,33,19993,114,4246,6738,365,99,11176,6536,3494,5543,793,258
Algeria,DZA,2015,387,4343,1096,118,0,571,499,695,328,465,477,86306,5634,11344,103,1483,12,568,33,20663,112,4468,7045,363,98,11131,6739,3592,5703,808,259
Algeria,DZA,2016,304,4563,1136,116,0,550,486,677,309,470,468,88545,5567,10817,104,1457,0,559,32,21303,92,4648,7280,355,96,10932,6903,3684,5847,779,258
Algeria,DZA,2017,300,4790,1179,114,0,533,474,659,289,484,462,91371,5605,10019,106,1451,0,546,32,22061,107,4832,7532,350,94,10868,7100,3796,6016,773,260
Algeria,DZA,2018,296,5005,1234,114,0,534,468,654,275,509,453,94824,5704,9337,109,1489,6,536,32,22953,76,5093,7886,353,93,11030,7320,3924,6214,782,258
Algeria,DZA,2019,292,5209,1283,114,0,526,459,638,264,526,445,97931,5786,8756,111,1516,0,527,40,23816,13,5328,8201,351,92,11051,7528,4045,6398,782,259
Argentina,ARG,1990,772,4983,1494,1323,9,1128,2024,448,559,22,1641,98783,8684,9407,949,2758,21,1073,29,56399,162,7096,7129,308,1277,4361,9894,5943,12140,627,107
Argentina,ARG,1991,757,5161,1526,1323,9,1120,2007,433,670,24,1587,97610,9048,9257,992,2875,0,1006,32,57122,114,7345,7261,305,1275,4502,10211,5895,12062,645,108
Argentina,ARG,1992,732,5383,1594,1322,8,1108,2105,418,909,25,1528,98286,9536,8704,1028,3065,45,920,35,58603,143,7741,7575,300,1272,4679,10766,5961,12201,667,105
Argentina,ARG,1993,731,5609,1644,1303,8,1070,2123,406,1003,27,1465,97030,10037,8334,1062,3194,15,839,37,59365,125,8026,7788,293,1252,4843,11182,5859,12109,678,103
Argentina,ARG,1994,698,5843,1670,1297,8,1047,2226,372,1328,28,1384,94314,10484,7887,1101,3343,0,795,41,59889,132,8190,7939,287,1246,4989,11440,5758,11961,682,104
Argentina,ARG,1995,698,6142,1748,1369,7,1015,2173,388,1635,30,1365,94708,11535,7514,1131,3496,6,798,45,61086,40,8479,8372,286,1314,5082,12171,5806,12112,699,100
Argentina,ARG,1996,693,6439,1818,1452,7,1022,2276,408,1867,31,1330,94471,12577,7286,1145,3707,0,802,50,62791,53,8693,8856,287,1392,5241,12775,5921,12313,727,93
Argentina,ARG,1997,639,6749,1910,1585,7,1006,2179,396,2049,35,1258,94388,13844,6972,1164,3965,19,827,57,64496,3,9013,9620,287,1519,5383,13514,6021,12466,744,76
Argentina,ARG,1998,638,7058,2013,1712,7,998,2055,404,1907,41,1188,95359,15388,6977,1121,4157,23,829,59,66293,0,9456,10446,277,1635,5537,14362,6085,12660,747,66
Argentina,ARG,1999,616,7319,2082,1791,6,973,2169,423,1767,43,1136,95713,16898,6564,1071,4328,11,808,63,67589,0,9837,11112,280,1703,5556,14948,6100,12796,754,60
Argentina,ARG,2000,591,7516,2081,1779,6,920,2544,399,1753,42,1045,91977,17874,6168,999,4394,19,760,94,67318,0,9715,11362,278,1693,5439,14803,5971,12632,717,55
Argentina,ARG,2001,576,7763,2125,1806,6,915,2581,437,1767,45,1007,91810,19379,6002,943,4546,33,745,66,68241,0,9807,11823,274,1718,5486,15184,6040,12830,714,53
Argentina,ARG,2002,586,8016,2182,1903,5,893,2691,473,1829,46,1001,93054,20952,6218,896,4600,21,759,62,69686,0,9917,12360,286,1810,5504,15645,6171,13140,715,49
Argentina,ARG,2003,591,8268,2246,1886,5,836,2430,460,1878,44,969,93723,22545,6186,888,4463,32,736,60,70855,0,10038,12674,288,1792,5531,16143,6255,13399,711,49
Argentina,ARG,2004,577,8476,2249,1751,5,766,2061,448,1747,44,906,91239,23215,5763,865,4290,7,686,58,70656,0,9835,12517,294,1664,5506,16012,6171,13287,694,48
Argentina,ARG,2005,561,8710,2257,1614,4,737,1957,429,1620,46,861,89381,23776,5141,860,4283,14,651,59,70761,0,9627,12468,305,1536,5622,15961,6242,13363,731,45
Argentina,ARG,2006,552,9010,2308,1537,4,718,2242,450,1692,49,834,89434,24781,4872,857,4310,3,643,56,71641,0,9476,12676,291,1461,5801,16102,6414,13639,705,43
Argentina,ARG,2007,554,9368,2408,1514,4,718,1894,467,1727,52,835,91606,26506,5055,864,4504,14,650,93,73495,0,9603,13170,306,1440,6094,16808,6743,14194,734,41
Argentina,ARG,2008,552,9633,2397,1417,4,695,2340,438,1714,54,796,89122,26764,5055,843,4549,11,649,54,72954,0,9193,12992,296,1349,6202,16506,6720,14143,718,39
Argentina,ARG,2009,556,9999,2442,1368,4,668,2399,489,1721,57,783,89543,27964,4849,812,4574,22,660,52,73515,0,9151,13172,296,1304,6281,16632,6828,14370,716,37
Argentina,ARG,2010,558,10411,2544,1352,0,652,2452,440,1651,60,760,91734,29690,4794,775,4584,7,687,52,74506,0,9202,13550,294,1284,6349,17202,6977,14748,717,35
Argentina,ARG,2011,554,10756,2603,1320,0,636,2535,418,1611,65,755,92474,31052,4622,751,4680,2,710,48,75294,0,9237,13762,295,1250,6449,17508,7179,15121,715,35
Argentina,ARG,2012,490,11042,2643,1290,0,625,2743,391,1733,68,745,92630,32009,4332,732,4782,4,723,48,75967,0,9237,13942,294,1218,6551,17593,7383,15460,703,34
Argentina,ARG,2013,476,11296,2696,1269,0,607,2847,384,1747,72,753,93311,33579,4281,718,4841,58,745,48,76594,0,9296,14190,294,1199,6639,17668,7558,15855,694,34
Argentina,ARG,2014,472,11480,2740,1245,0,583,2959,395,1766,74,744,93640,34668,4216,723,4805,8,766,46,76832,0,9334,14289,283,1176,6514,17789,7659,16158,673,35
Argentina,ARG,2015,469,11651,2831,1263,0,563,2905,398,1765,78,740,95955,36109,3831,728,4773,17,781,45,78388,0,9655,14607,274,1189,6394,18280,7950,16770,661,35
Argentina,ARG,2016,478,11811,2966,1303,0,572,2917,378,1817,83,761,100391,38173,3614,742,4926,10,803,44,81304,1,10194,15219,275,1224,6406,19026,8408,17598,678,35
Argentina,ARG,2017,470,11884,3019,1328,0,573,2900,378,1810,81,751,101975,37601,3438,771,4979,1,786,45,83141,0,10498,15531,276,1249,6431,19334,8488,17757,681,36
Argentina,ARG,2018,458,11900,2999,1314,0,570,2891,376,1796,83,734,100742,36482,3336,795,5009,2,761,44,83676,0,10548,15446,273,1239,6391,19145,8449,17640,672,36
Argentina,ARG,2019,453,12045,3043,1330,0,566,2881,377,1777,86,727,101725,36264,3272,821,5029,0,757,45,85209,0,10762,15665,272,1255,6318,19348,8525,17792,672,36
Australia,AUS,1990,99,3669,880,77,0,295,380,19,379,458,99,51230,1823,872,270,2342,16,38,40,31401,2,2198,1712,47,47,2739,6966,1394,3944,147,6
Australia,AUS,1991,96,3820,909,79,0,282,360,14,433,485,97,50532,1826,812,272,2362,14,43,40,31902,4,2273,1743,47,49,2543,7006,1386,3911,175,6
Australia,AUS,1992,97,3984,957,84,0,281,330,15,479,535,97,50979,1895,815,277,2391,10,49,41,32785,2,2397,1804,45,52,2420,7235,1392,3926,149,7
Australia,AUS,1993,86,4149,998,89,0,271,337,20,568,582,95,50717,1924,746,287,2376,3,57,56,33430,0,2497,1863,46,58,2296,7312,1387,3907,145,7
Australia,AUS,1994,86,4342,1056,97,0,269,344,24,558,660,94,51468,2043,719,297,2468,1,64,57,34419,6,2640,1946,47,64,2255,7523,1415,3971,178,7
Australia,AUS,1995,84,4533,1098,101,0,263,327,23,521,741,92,51085,2136,694,314,2533,5,70,53,34883,0,2705,1998,50,68,2220,7544,1414,3974,147,8
Australia,AUS,1996,84,4761,1156,106,0,262,337,18,489,790,91,51248,2323,684,324,2600,23,75,44,35577,2,2829,2103,51,73,2182,7702,1437,4032,164,8
Australia,AUS,1997,83,4968,1202,109,0,263,333,22,242,868,86,50598,2638,662,347,2679,40,73,42,35937,0,2870,2156,50,78,2137,7671,1443,4069,142,9
Australia,AUS,1998,83,5176,1246,116,0,258,344,15,194,937,86,49849,2547,649,372,2719,7,73,38,36234,0,2902,2240,53,84,2121,7609,1432,4085,138,10
Australia,AUS,1999,82,5399,1296,121,0,255,337,26,172,955,85,49132,2620,674,400,2667,12,78,36,36561,0,2949,2324,54,90,2092,7578,1425,4140,136,10
Australia,AUS,2000,79,5658,1354,124,0,243,340,17,162,896,82,48690,2838,651,412,2584,3,80,37,37009,1,3030,2405,55,94,2050,7587,1437,4219,143,10
Australia,AUS,2001,78,5935,1417,125,0,233,338,17,146,782,84,48397,2940,640,418,2502,4,87,34,37485,4,3134,2502,49,97,1973,7608,1466,4307,122,10
Australia,AUS,2002,75,6213,1494,132,0,225,324,17,133,752,81,48557,3097,632,431,2449,1,97,35,38098,0,3292,2632,50,102,1930,7743,1532,4482,160,11
Australia,AUS,2003,73,6470,1552,134,0,216,304,13,134,767,78,47950,3181,620,442,2426,3,106,38,37909,0,3419,2718,54,104,1890,7735,1581,4581,144,11
Australia,AUS,2004,70,6690,1582,137,0,210,250,15,145,783,77,46587,3113,621,443,2381,3,117,42,39058,0,3475,2777,51,108,1828,7605,1584,4599,121,11
Australia,AUS,2005,55,6954,1614,137,0,205,254,14,117,805,73,45600,2998,651,454,2358,4,123,42,39704,0,3532,2884,49,106,1784,7538,1600,4648,127,11
Australia,AUS,2006,53,7268,1668,137,0,202,308,18,132,787,76,45433,2938,658,467,2370,4,136,44,40546,0,3648,3065,48,106,1755,7660,1623,4750,113,11
Australia,AUS,2007,51,7568,1742,138,0,204,300,14,123,757,78,45949,2910,652,483,2465,5,148,46,41904,0,3820,3298,48,107,1752,7969,1687,4945,114,11
Australia,AUS,2008,50,7836,1809,138,0,206,327,12,95,720,80,46128,2828,648,496,2556,5,156,46,43049,0,3934,3487,49,108,1739,8245,1742,5099,115,12
Australia,AUS,2009,49,8064,1837,137,0,207,339,18,101,693,80,45219,2803,649,503,2610,6,167,77,43523,2,3942,3608,48,107,1711,8342,1780,5186,266,12
Australia,AUS,2010,49,8346,1882,139,0,206,326,19,83,700,79,44759,2911,638,510,2667,5,179,43,44010,10,3906,3699,47,110,1665,8566,1823,5303,108,11
Australia,AUS,2011,48,8687,1948,138,0,197,311,19,103,738,80,44991,3055,608,511,2687,34,197,41,44902,11,3900,3862,46,110,1617,8894,1866,5457,126,11
Australia,AUS,2012,48,8948,1983,136,0,193,318,19,74,766,77,44416,3192,575,514,2716,8,207,38,45387,1,3803,4016,44,111,1568,9104,1888,5546,104,10
Australia,AUS,2013,45,9215,2020,134,0,195,304,11,69,813,80,44255,3306,572,522,2775,4,206,36,46192,0,3657,4210,41,110,1515,9354,1967,5699,102,10
Australia,AUS,2014,45,9526,2085,141,0,196,312,13,67,887,82,45146,3530,537,536,2907,5,213,51,47417,4,3653,4450,41,116,1523,9773,2057,5913,102,10
Australia,AUS,2015,46,9848,2150,145,0,198,318,12,64,954,85,46230,3763,542,553,3010,9,218,34,48482,3,3720,4682,41,120,1549,10163,2135,6126,103,10
Australia,AUS,2016,44,10134,2178,150,0,196,300,14,71,1002,85,46468,3925,529,568,2927,9,219,33,48970,1,3729,4787,40,125,1545,10319,2125,6185,102,9
Australia,AUS,2017,45,10420,2237,154,0,195,315,13,71,1039,88,47986,4011,511,575,2857,12,220,35,50188,0,3862,4867,41,127,1558,10524,2135,6278,104,9
Australia,AUS,2018,46,10804,2331,159,0,196,320,13,71,1086,92,50065,4158,496,583,2876,0,225,36,52196,2,4071,5061,42,132,1584,10926,2187,6489,107,10
Australia,AUS,2019,46,11240,2403,164,0,196,322,13,71,1128,95,51615,4269,487,590,2898,4,228,37,53700,0,4239,5207,43,136,1595,11203,2215,6632,109,10
Bangladesh,BGD,2007,4633,6653,2609,12076,3791,22024,3391,8083,155,225,44186,229986,56958,86638,277,8468,5505,35610,207,69816,19,22321,10466,479,9194,8927,60138,26714,41053,1405,3970
Bangladesh,BGD,2008,4638,6891,2647,10812,6577,20626,3394,7432,187,224,41736,234002,53458,83087,277,8250,68,33338,76,71059,22,22325,10495,484,8009,8984,59378,25922,39833,1369,3873
Bangladesh,BGD,2009,3846,7239,2745,9739,4105,19115,3521,7008,214,227,39446,242016,50206,79128,279,8237,213,32312,145,73426,20,22685,10648,497,7005,9143,59517,25497,39291,1360,3884
Bangladesh,BGD,2010,3663,7658,2899,8793,4993,17169,3576,6938,246,229,37697,252054,47584,75448,280,8133,107,31548,147,76058,127,23287,10771,506,6149,9183,60294,25085,38799,1469,3941
Bangladesh,BGD,2011,3328,7951,2713,7706,5108,15392,3678,6848,286,220,34335,243361,44083,72192,276,7534,40,30285,141,76393,402,21981,10470,494,5309,8715,56564,24070,37327,1269,3848
Bangladesh,BGD,2012,3005,8374,2556,6792,1087,13666,3632,7283,320,217,31900,238443,40685,67831,277,7119,272,29560,103,77715,317,21231,10336,500,4550,8393,53698,23548,36562,1227,3831
Bangladesh,BGD,2013,2887,9137,2719,6259,481,12246,3841,7343,343,224,31182,245834,39183,63358,280,6949,50,30075,131,80503,141,22033,10470,490,4024,8371,54792,23445,36587,1219,3920
Bangladesh,BGD,2015,2366,10930,3180,5703,901,10182,4087,7439,368,233,30629,268859,37458,55251,286,6857,159,31321,94,87112,163,24520,10872,518,3478,8469,58308,23622,37322,1233,4143
Bangladesh,BGD,2016,2334,12037,3441,5311,580,9401,4052,7204,377,249,30376,279014,37103,51546,295,6887,198,32195,99,91436,231,26259,11265,533,3109,8428,60948,24192,38322,1249,4270
Bangladesh,BGD,1990,2748,4546,1851,66762,36419,34714,3605,19147,0,199,80729,138255,113930,143962,242,10883,905,114670,205,53557,158,12091,7704,633,59257,7884,61137,26628,47555,2061,10639
Bangladesh,BGD,1991,2585,4601,1724,59285,38637,34574,3746,16792,0,186,73315,128059,111469,140911,231,10271,139252,110115,173,51202,164,11524,7319,600,53226,7486,56561,25641,45612,2049,9751
Bangladesh,BGD,1992,2593,4810,1750,54820,32357,34519,3920,16960,0,191,71069,130083,108444,136391,235,10520,40,102810,173,52159,325,12064,7328,592,49321,7672,56650,25912,45996,2097,9409
Bangladesh,BGD,1993,2535,5023,1769,49769,30310,34621,4087,16291,0,193,67598,130790,105407,131495,236,10534,646,96556,80,52703,12,12487,7260,575,44844,7685,56114,25893,45764,2110,8907
Bangladesh,BGD,1994,2517,5229,1787,47194,26126,34621,4168,15901,0,195,64680,132038,102806,126436,237,10497,321,89424,108,53154,56,12946,7314,564,42599,7782,55488,25920,45561,2116,8401
Bangladesh,BGD,1995,2580,5416,1841,43958,21616,35294,4239,16017,2,203,63740,137057,100605,122598,244,10700,1494,82577,200,54664,41,13801,7492,556,39524,8065,56089,26291,45883,2102,8039
Bangladesh,BGD,1996,2667,5563,1847,40653,17101,35723,4225,14980,3,204,60675,137951,97586,119337,243,10483,681,74608,279,54921,127,14213,7514,589,36436,8124,55100,26239,45262,2035,7466
Bangladesh,BGD,1997,2716,5732,1858,37168,19231,35376,4092,13865,5,203,57639,139279,93972,116245,241,10104,527,67320,110,54790,19,14623,7484,517,33164,8046,54089,25986,44256,1940,6849
Bangladesh,BGD,1998,2744,5934,1917,33838,19136,34515,3899,12425,8,202,55677,144235,89758,112552,239,9691,1371,61254,196,54954,5,15377,7662,493,30010,7932,54074,25727,43263,1832,6250
Bangladesh,BGD,1999,2992,6076,1987,30998,18839,33212,3708,11105,13,201,53612,150975,85719,109057,238,9286,330,56314,75,55641,31,16222,7890,471,27301,7841,54489,25665,42550,1737,5744
Bangladesh,BGD,2000,3442,6160,2058,28839,8967,32521,3665,10984,19,209,54383,160416,82601,105534,245,9382,142,52596,126,57862,25,17314,8347,471,25104,8246,55772,26367,43037,1685,5514
Bangladesh,BGD,2001,3447,6197,2086,26065,8568,30871,3516,10249,27,206,53475,166478,78423,102772,244,9104,247,48730,83,58430,61,17946,8520,458,22464,8294,55710,26209,42257,1592,5108
Bangladesh,BGD,2002,3546,6273,2197,23249,8654,28829,3322,10057,38,204,52100,177250,74827,100998,245,8783,132,46072,427,59967,26,19040,8833,448,19783,8271,56968,26343,42025,1525,4737
Bangladesh,BGD,2003,3882,6316,2299,20281,11049,26600,3208,9552,53,203,50270,187957,70778,99038,248,8463,314,43132,564,61456,10,20027,9133,438,16985,8210,57934,26481,41760,1467,4408
Bangladesh,BGD,2004,4109,6321,2343,17604,12017,24762,3199,8914,73,204,47619,196567,66529,96710,253,8242,1002,40571,150,62782,82,20540,9365,434,14492,8170,57890,26508,41382,1427,4153
Bangladesh,BGD,2005,4407,6379,2427,15153,7074,23533,3259,8888,98,212,46712,209388,62824,93580,262,8341,232,38978,125,65283,123,21406,9819,446,12107,8475,58822,26827,41575,1414,4073
Bangladesh,BGD,2006,4497,6496,2545,13256,3517,22220,3389,8687,125,221,45876,222813,59193,89998,271,8481,154,37507,126,67975,97,22127,10222,459,10300,8634,60099,27015,41659,1408,4020
Bangladesh,BGD,2014,2841,10117,3071,5974,1309,11053,4025,7371,359,243,31424,260732,38828,59210,285,6974,79,30824,88,84234,299,23973,10825,504,3634,8581,58264,23631,37074,1228,4069
Bangladesh,BGD,2017,2356,13346,3951,5107,560,8735,4021,6913,383,271,30662,301659,37649,47404,305,7096,323,33537,104,97080,139,29283,11903,546,2848,8632,66183,25270,40132,1275,4485
Bangladesh,BGD,2018,2338,14478,4221,4702,155,8107,3982,6741,373,286,29786,313376,37302,43506,314,7213,68,33110,143,101677,59,31202,12339,555,2518,8639,68578,25707,40888,1287,4460
Bangladesh,BGD,2019,2323,15614,4489,4402,110,7582,3954,6598,359,299,29086,324764,37302,40175,322,7365,131,32927,113,106147,155,33095,12775,561,2282,8612,70893,26165,41679,1407,4437
Belgium,BEL,1990,58,3212,726,62,0,125,184,9,132,71,160,39927,3460,428,242,2187,16,96,28,30372,22,1844,1419,102,46,2100,6494,1766,4303,135,21
Belgium,BEL,1991,59,3312,729,68,0,119,183,9,163,81,155,39022,3480,423,250,2191,0,103,30,30386,54,1794,1423,99,52,2051,6593,1764,4335,138,19
Belgium,BEL,1992,59,3432,742,88,0,120,207,9,125,90,154,38687,3592,409,261,2251,0,112,38,30656,1,1793,1498,94,69,1992,6735,1796,4439,144,16
Belgium,BEL,1993,59,3542,755,99,0,115,224,9,191,107,156,38492,3729,382,269,2307,0,122,43,30786,0,1818,1556,89,78,1949,6987,1816,4569,144,14
Belgium,BEL,1994,59,3647,757,108,0,115,222,10,209,120,153,37784,3812,350,277,2339,0,128,46,30662,0,1808,1579,84,88,1913,7011,1838,4650,170,14
Belgium,BEL,1995,60,3747,772,116,0,108,217,12,241,129,151,37514,4004,308,276,2353,6,142,46,30665,0,1824,1612,79,94,1835,7173,1865,4737,147,14
Belgium,BEL,1996,59,3829,788,112,0,99,224,8,186,138,147,37338,4281,278,285,2333,0,151,43,30236,0,1836,1625,72,92,1766,7198,1870,4802,141,11
Belgium,BEL,1997,63,3902,801,129,0,93,213,12,103,141,145,36741,4505,274,294,2342,0,167,46,30104,4,1860,1626,67,106,1718,7197,1901,4899,146,13
Belgium,BEL,1998,63,3972,818,133,0,90,247,12,79,139,140,36557,4783,260,318,2325,1,187,40,29951,0,1885,1606,59,108,1695,7177,1896,4992,147,14
Belgium,BEL,1999,66,4054,834,156,0,88,268,8,78,150,141,36203,5026,252,328,2322,2,212,39,29781,2,1950,1669,54,127,1686,7143,1901,5029,149,13
Belgium,BEL,2000,68,4162,858,185,0,89,213,6,82,161,142,35953,5268,252,348,2362,1,261,37,29465,0,1828,1734,54,155,1683,7072,1938,5120,146,9
Belgium,BEL,2001,68,4209,881,205,0,91,218,11,95,163,141,35397,5283,240,362,2345,0,309,35,29228,0,1783,1780,52,173,1614,7022,1947,5156,144,7
Belgium,BEL,2002,67,4236,921,228,0,94,219,6,93,162,136,35510,5460,228,367,2312,3,370,37,29290,0,1797,1862,50,191,1515,7123,1972,5251,142,7
Belgium,BEL,2003,66,4246,959,247,0,92,182,8,90,162,133,35256,5556,225,375,2292,0,439,78,28978,0,1802,1931,46,207,1413,7162,1978,5299,144,6
Belgium,BEL,2004,62,4254,971,256,0,88,199,4,101,161,125,34009,5392,216,384,2237,0,499,38,28815,1,1767,1933,45,214,1322,6968,1954,5225,140,6
Belgium,BEL,2005,65,4377,1001,270,0,88,193,7,81,167,124,33547,5457,224,394,2242,1,558,43,28840,2,1766,1996,44,225,1266,6963,1970,5265,138,5
Belgium,BEL,2006,57,4488,1023,276,0,88,182,9,68,169,119,32725,5348,228,411,2234,0,601,111,28608,0,1739,2042,43,232,1221,6838,1963,5226,138,5
Belgium,BEL,2007,56,4621,1061,288,0,88,185,8,70,182,122,32661,5348,231,427,2278,2,646,43,28739,0,1758,2126,42,243,1200,6893,2015,5306,139,5
Belgium,BEL,2008,53,4766,1111,301,0,89,166,8,77,195,121,32909,5436,222,456,2369,0,706,44,28473,0,1799,2240,43,256,1162,7011,2097,5441,142,5
Belgium,BEL,2009,51,4850,1127,306,0,86,168,7,67,200,114,32232,5363,219,466,2363,0,755,45,30055,0,1768,2302,41,263,1101,6888,2070,5361,142,5
Belgium,BEL,2010,51,5010,1142,315,0,84,160,8,83,201,109,31700,5310,221,476,2365,4,779,47,31062,0,1718,2394,42,274,1050,6794,2048,5302,138,5
Belgium,BEL,2011,50,5195,1165,322,0,84,183,9,79,197,104,31534,5340,216,490,2375,5,794,44,31686,0,1692,2494,40,285,1014,6777,2071,5342,136,4
Belgium,BEL,2012,49,5369,1200,334,0,82,176,7,73,197,103,31817,5500,221,508,2358,0,812,53,32532,1,1689,2619,39,299,965,6900,2112,5429,137,5
Belgium,BEL,2013,50,5521,1223,340,0,81,159,5,77,198,96,31680,5576,211,520,2318,0,855,48,32991,0,1651,2692,39,307,927,6898,2108,5407,134,4
Belgium,BEL,2014,46,5658,1219,342,0,80,169,6,58,200,88,30934,5539,203,522,2262,0,852,45,32831,4,1594,2692,37,311,885,6773,2068,5297,129,5
Belgium,BEL,2015,46,5897,1255,357,0,82,162,5,61,203,88,31652,5835,196,530,2254,0,898,63,33216,0,1608,2794,36,326,869,6933,2106,5426,129,5
Belgium,BEL,2016,46,6092,1259,352,0,79,168,5,61,205,80,31413,5881,188,529,2233,2,890,48,33047,70,1589,2813,35,321,847,6926,2074,5410,127,5
Belgium,BEL,2017,45,6298,1277,358,0,78,163,5,59,211,81,32118,6026,182,529,2243,0,884,48,33186,0,1636,2844,36,327,864,7090,2081,5479,127,5
Belgium,BEL,2018,45,6473,1303,365,0,78,163,5,58,217,82,32887,6188,176,525,2232,1,891,48,33464,4,1683,2905,36,333,880,7236,2088,5565,128,5
Belgium,BEL,2019,45,6615,1331,371,0,77,163,5,56,224,82,33627,6340,171,525,2212,0,898,48,33892,0,1731,2965,37,338,888,7400,2105,5662,129,5
Brazil,BRA,1990,8388,13314,2891,16573,4212,10778,43818,3818,8072,187,9951,269723,67705,82075,4593,9249,35,42554,232,117672,43,27284,16255,390,15599,44236,40254,24474,43933,2721,347
